PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
"LA UNION",Santol,"Lettac Norte",3,,,8,"Brgy Hall"
"LA UNION",Santol,Poblacion,1,,,1,"Outside evacuation"
"LA UNION",Santol,"Lettac Sur",2,,,4,"Outside evacuation"
"LA UNION",Santol,"Lettac Sur",1,,,5," Banbanaba Elem School"
"LA UNION",Bangar," Consuegra",15,0,0,46,"Bangar Evacuation Center <br> Municipal Hall <br> Mini gymnasium <br> MHO BC <br> Bangar Central School <br> DFLOMNHS <br> Barangay Evacuation Centers of Agdeppa, Alzate, Bangaoilan East, Consuegra, Gen Prim West, General Terrero, Paratong Norte,<br> Saint Christopher Parish Church <br> Outside Evacuation Center"
"LA UNION",Bangar," General Prim West",1,,,72,
"LA UNION",Bangar,Mindoro,3,,,6,
"LA UNION",Pugo," Cares",2,0,0,6," Cares Brgy. Hall<br>(Total individual based on coordination to PDRRMO)"
"LA UNION",Pugo,"Tavora East",1,,,2,"Tavora East Brgy. Hall"
"LA UNION",Pugo,"Tavora East",10,,,20,"Outside Evacuation"
"LA UNION",Caba," Las-ud",8,0,0,10,"Brgy. Hall"
"LA UNION",Caba,"Poblacion Norte",1,,,3," Outside Evacuation"
"LA UNION",Caba,"San Gregorio",8,,,23," Outside Evacuation"
"LA UNION",Bagulin,"Suyo Fam 23, Ind 59 Tagudtud Fam 1, Ind 4",24,0,0,63,"Bagulin Evacuation Center Outside Evacuation Center"
"LA UNION",Burgos,"Agpay, Caoayan, Dalacdac, Libtong, Linuan, Old Poblacion, Upper Tumapoc, New Poblacion",39,0,0,105,"Burgos Municipal Evacuation Center, Dalacdac Barangay Hall, Linuan Barangay Hall, Old Poblacion Barangay Hall"
"LA UNION",Naguillan,"Daramuangan, Bimmotobot, Natividad, Tuddingan, San Isidro, Cabaritan Sur, Aguioas, Bancagan",161,0,0,573,"Daramuangan Brgy. Hall, Lower Bimmotobot Elem. School, Dr. Hermogenes Belen Elem. School, Municipal Civic Center, Naguilian National High School, Tuddingan Barangay Hall, Mormons church, Brgy. Cabaritan Sur covered court, Cabaritan Sur Brgy. Hall, Cabaritan Integrated School, Aguioas Brgy. Hall, houses of relatives and neighbors"
"LA UNION",Rosario,"Bani, Carunoan West, Catanguingtingan, Poblacion East",40,0,0,103,"Bani Elem School<br> Carunoan West Brgy Hall<br> Cataguingtingan BH and Catag Elem Sch<br> Poblacion East Brgy Hall"
"LA UNION","San Gabriel","Poblacion, Bucao, Bumbuneg",28,0,0,97,"3rd Floor Legislative Building"
"LA UNION","San Juan","Ili Sur, Cacapian, BAcsayan, Bugbugcao, Cabaroan, Casilagan, CAtdongan, Dangdangla, Lubing, Pacpacac, Panicsican, Saracat, Taboc",451,0,0,1510,"San Juan Senior HS, San Juan Multi Puropose Gym, San Juan Central School, Taboc Elem. School, Ili Sur Brgy. Hall"
